source sentence, target sentence
je t offre un choix. , i m offering you a choice.
vous tes pleine de talent. , you re very talented.
j ai h te de vous voir. , i m looking forward to seeing you.
je ne suis pas ton esclave. , i m not your slave.
il est confront de nombreuses difficult s. , he is confronted by many difficulties.
vous tes tatillonne. , you re finicky.
il est l glise en ce moment. , he s at church right now.
j attends toujours ta r ponse. , i m still waiting for your answer.
je ne suis pas du genre jaloux. , i m not the jealous type.
vous tes trop maigrichon. , you re too skinny.
vous faites une grave erreur. , you re making a huge mistake.
c est un type tellement sympa! , he s such a great guy.
tu vas payer pour a. , you re going to pay for this.
je saigne gravement. , i m bleeding badly.
je me r jouis que tu sois ici. , i m glad that you re here.
vous m intimidez toujours. , i m still intimidated by you.
vous n tes pas normal. , you re not normal.
vous tes tr s timides. , you re very timid.
je ne vais pas appeler tom. , i m not going to call tom.
il a peur de mourir. , he is afraid that he will die.
c est mon fr re a n. , he s my older brother.
tu ne m aides pas. , you re not helping me.
tu es tir d affaire. , you re off the hook.
il souffre d un rhume. , he is suffering from a cold.
je ne fais pas a pour l argent. , i m not doing this for money.
je suis heureuse de t avoir invit e. , i m glad i invited you.
je ne suis pas folle. , i m not crazy.
je ne suis pas m decin mais enseignant. , i m not a doctor but a teacher.
je ne suis pas assur. , i m uninsured.
c est un mauvais gar on. , he is a bad boy.
vous tes en danger tom. , you re in danger tom.
je suis aussi grand que mon p re. , i m as tall as my father.
j apporte du vin. , i m bringing wine.
je ne me sens pas mal l aise. , i m not uncomfortable.
je suis ton plus grand fan. , i m your biggest fan.
vous tes cruel. , you re cruel.
je prends soin de moi. , i m looking after myself.
tu es assis sur ma chaise. , you re sitting in my chair.
je suis vraiment d sol. , i am truly sorry.
je capte. , i m catching on.
il est deux fois plus vieux qu elle. , he is twice as old as she is.
tu conduis trop vite. , you re driving too fast.
je ne suis personne de sp cial. , i m no one special.
je suis ravie. , i m thrilled.
je cr ve de faim! , i m starving.
je prends des vacances. , i m taking a vacation.
je viens te chercher. , i m coming to pick you up.
vous n tes pas comme moi. , you re not like me.
je ne suis pas parfaite. , i m not perfect.
j apprends toujours quelque chose de nouveau. , i m always learning something new.
on dit qu il est riche. , he is said to be rich.
je suis dans la maison. , i am in the house.
j insiste que vous devez partir. , i m adamant that you should go.
elle lui sugg ra de l essayer. , she suggested that he try it.
je fais montre de patience. , i m being patient.
je suis de la ville. , i m from the city.
elle est en train de s exprimer. , she is talking.
il est pigiste. , he s a freelance journalist.
je suis assez bonne nageuse. , i m a pretty good swimmer.
je me sens abattue. , i m feeling low.
vous tes la professeur. , you re the teacher.
je suis bien conscient de a. , i m well aware of that.
je suis certain. , i m certain.
elle est plus grande que sa s ur. , she is taller than her sister.
elle lui sourit. , she smiled at him.
je suis d sol ce vol est plein. , i m sorry the flight is full.
je le rends. , i m giving it back.
il n est pas comme nous. , he s not like us.
je suis l pour vous aider. , i m here to help you.
vous gaspillez des munitions. , you re wasting ammo.
il est vieux et fou. , he s old and crazy.
je prends des cong s cette semaine. , i m taking this week off.
tu es le seul canadien que je connaisse. , you re the only canadian i know.
elle est deux ans plus jeune que moi. , she is two years younger than me.
il est tr s prudent. , he is being very careful.
c est toi la ma tresse. , you re the master.
je ne vous donnerai pas davantage d argent. , i m not giving you any more money.
je vous dis la v rit. , i m telling you the truth.
je suis impressionn e par votre fran ais. , i m impressed with your french.
c est une femme d une grande beaut. , she is a woman of great beauty.
je ne vais plus le faire. , i m not doing it anymore.
elle est mannequin. , she s a model.
elle est bonne nageuse. , she is a good swimmer.
tu es maigrichon. , you re skinny.
elle est tr s belle. , she s a beauty.
c est un homme tr s bien pay. , he is a highly paid man.
je suis un couard. , i m a coward.
je ne suis pas amoureux de toi. , i m not in love with you.
vous tes ici en s curit. , you re safe here.
elle sourit et accepta mon petit cadeau. , she smiled and accepted my little present.
il est en train de lire un roman. , he s reading a novel right now.
il n est pas idiot. , he is not stupid.
tu es le chef. , you re the leader.
je ne le vendrai pas. , i m not going to sell it.
il commence avoir les foies. , he s getting cold feet.
je suis de votre c t. , i m by your side.
je suis un peu fatigu. , i m a little tired.
c est une fille mignonne. , she is a pretty girl.
vous n tes pas vir es. , you re not fired.
il est bon cuisinier. , he is good at cooking.
tu es oublieux. , you re forgetful.
vous tes pleins de ressources. , you re very resourceful.
je n en suis pas s r. , i m not sure about that.
c est un gar on tr s intelligent. , he is a very smart boy.
il est assis sur la chaise. , he is sitting on the chair.
je suis coinc ici. , i m stuck here.
elle a parl avec sagesse. , she spoke wisely.
vous tes la doyenne. , you re the oldest.
je n ai pas honte de te dire. , i m not ashamed to tell you.
elle est en train de coucher les enfants. , she s putting the children to bed.
je suis impatiente de vous revoir. , i am looking forward to seeing you again.
je suis toujours un tranger ici. , i m still a stranger here.
je suis content que a vous rende heureux. , i m glad that makes you happy.
vous entendez des choses. , you are hearing things.
vous tes sympa. , you re nice.
je me trouve juste derri re lui. , i m right behind him.
tu te ridiculises. , you re embarrassing yourself.
j ai un peu faim. , i m a bit hungry.
j apprends tant de toi. , i m learning so much from you.
vous allez trop vite. , you re going too fast.
vous tes tr s perspicaces. , you re very perceptive.
je fais des progr s. , i m making progress.
il est gentil. , he s a kind person.
je ne suis pas celui que tu penses. , i m not who you think i am.
tu es un petit menteur. , you re a little liar.
je fais mon devoir. , i m doing my duty.
j ach te des bonbons et des biscuits. , i am buying candy and cookies.
tu es agit e. , you re restless.
je suis entre deux emplois. , i m between jobs.
je ne suis plus un bleu. , i m no longer a rookie.
vous tes le dernier espoir de l humanit. , you re the last hope for humanity.
c est un tel frimeur! , he is such a show off.
vous tes deux fois plus forts que moi. , you are twice as strong as i am.
tu es d pourvue de pouvoir. , you re powerless.
je tiens son succ s pour certain. , i am sure of her success.
tu n es pas suffisament g pour boire. , you re not old enough to drink.
tu es culturiste n est ce pas? , you re a bodybuilder aren t you?
elle est sympa avec moi. , she s being nice to me.
vous tes tr s craintive. , you re very timid.
je ne suis pas la maison le dimanche. , i m not home on sundays.
vous n tes pas aussi maligne que moi. , you re not as smart as me.
je suis le patron non? , i m the boss aren t i?
il est raisonnable dans ses exigences. , he is reasonable in his demands.
je commence vous appr cier. , i m starting to like you.
je pars pour le canada demain. , i m leaving for canada tomorrow.
je ne vais pas me disputer avec vous! , i m not going to argue with you.
il cherche toujours les compliments. , he is always looking for praise.
c est toi le doyen. , you re the oldest.
vous tes ambitieuse. , you re ambitious.
il nettoie une voiture. , he is washing a car.
elle pue. , she smells bad.
il a besoin d argent. , he is in need of money.
vous tes parano aque. , you re being paranoid.
j ai la t te qui tourne. , i m feeling dizzy.
je vais au lit. , i m going to bed.
elle est d prim e. , she s depressed.
c est la chouchoute de la prof. , she s the teacher s pet.
je leur suis reconnaissant. , i am grateful to them.
vous tes tr s attirants. , you re very attractive.
vous tes fort craintifs. , you re very timid.
il est influent. , he is influential.
je n en suis pas certaine. , i m not certain.
elle porte une bague de prix. , she is wearing a valuable ring.
elle est vraiment intelligente n est ce pas? , she s really smart isn t she?
elle est au travail n est ce pas? , she s at work isn t she?
il est d termin aller en angleterre. , he is determined to go to england.
je ne suis pas une idiote. , i m no fool.
c est le plus grand artiste vivant. , he is the greatest living artist.
j attends ma copine. , i m waiting for my girlfriend.
vous tes surqualifi pour cet emploi. , you re overqualified for this job.
il est un homme de vision. , he is a man of vision.
je suis ici pour vaincre. , i m here to win.
c est mon coll gue. , he is my colleague.
je suis fain ante. , i am lazy.
vous tes fort occup e. , you re very busy.
vous tes fort motif. , you re very emotional.
c est un coureur rapide. , he is a fast runner.
tu gaspilles de l eau. , you re wasting water.
tu es tr s effront. , you re very forward.
je lis le new york times. , i m reading the new york times.
il est rus et manipulateur. , he s cunning and manipulative.
je suis vraiment en col re l. , i m really angry right now.
tu es surmen e. , you re overworked.
c est un canon. , she s a looker.
je ne suis pas habitu e cette chaleur. , i m not used to this heat.
je n cris pas votre sujet. , i m not writing about you.
je suis r solu arr ter de fumer. , i am determined to give up smoking.
elle a une conception cynique de la vie. , she is very cynical about life.
il tudie l histoire l universit. , he is studying history at the university.
je suis un travailleur social. , i m a social worker.
c est un illumin. , he s a bigot.
je suis trop vieille pour tom. , i m too old for tom.
je suis tellement fi re de vous. , i m so proud of you.
je me sens assez confiant. , i m feeling pretty confident.
il essaye toujours de faire l impossible. , he is always trying to do the impossible.
je fais attention ne pas trop d penser. , i m careful not to spend too much.
elle sent mauvais. , she smells bad.
je ne suis pas convaincu. , i m not convinced.
il est faible en chimie. , he is poor at chemistry.
je suis assez heureux. , i m kind of happy.
c est une gentille personne. , he is a nice person.
j en suis s re. , i m sure.
il fait peu pr s ma taille. , he is about my size.
je suis fatigu de toutes ces r flexions. , i m tired of all this nagging.
elle est en col re contre moi. , she is mad at me.
je suis s r que tout ira bien. , i m sure everything will be fine.
il est aussi grand que son p re. , he is as tall as his father.
elle passa tout l apr s midi cuisiner. , she spent all afternoon cooking.
vous n tes pas des n tres si? , you re not one of us are you?
elle est fianc e un homme riche. , she is engaged to a rich man.
il est bon en calcul. , he s good at arithmetic.
vous tes fort l gants. , you re very stylish.
tu es grognon. , you re grumpy.
elle dormit quelques heures. , she slept for a few hours.
je paye la facture de t l phone. , i m paying the phone bill.
ce n est pas un h ros. , he s not a hero.
je suis c libataire. , i am a bachelor.
c est l un de mes voisins. , he is one of my neighbours.
je pense cl turer mon compte d pargne. , i am thinking of closing my savings account.
vous tes bougonne. , you re grumpy.
je suis cam raman. , i m a cameraman.
je vais passer la t l vision. , i m going to be on tv.
il a le vin mauvais. , he is an angry drunk.
je suis faible. , i m weak.
je transmets la facture par fax. , i am sending the invoice by fax.
il est tr s s duisant. , he is very good looking.
je suis heureux de vous avoir rencontr. , i m very happy to make your acquaintance.
je parle de mon ami. , i m talking about my friend.
je ne vais pas regarder. , i m not going to look.
je suis inqui te pour le b b. , i m worried about the baby.
je regrette vraiment d entendre a. , i m really sorry to hear that.
tu es le meilleur. , you re the best.
je travaille plus dur. , i m working harder.
c est un tasunien d origine chinoise. , he s a chinese american.
il est fatigu de lire. , he is tired of reading.
elle sourit son b b. , she smiled at her baby.
c est une pi tre cuisini re. , she is a poor cook.
elle est amoureuse de lui. , she is in love with him.
elle lui sourit avec g ne. , she smiled at him uneasily.
tu as la confiance de tous. , you are trusted by every one of us.
il est familier de la culture japonaise. , he is familiar with japanese culture.
c est vous la chef. , you re the leader.
je suis sid r. , i am dumbfounded.
je ne pleure pas. , i m not crying.
je crains qu il commette une erreur. , i am afraid he will make a mistake.
il est plus fort que jamais. , he is stronger than ever.
c est toi l enseignante. , you re the teacher.
il est borgne. , he is blind in one eye.
elle nous a montr un joli chapeau. , she showed us a beautiful hat.
elle est amicale avec tout le monde. , she is friendly to everybody.
je rechigne lui rendre visite. , i m reluctant to visit him.
je ne suis pas un locuteur natif. , i m not a native speaker.
vous allez adorer nos plats. , you re going to love our food.
vous tes merveilleux. , you re wonderful.
je lance un signal de d tresse. , i m declaring an emergency.
c est toi l instituteur. , you re the teacher.
je suis un oiseau de nuit. , i m a night owl.
elle se plaint toujours de la nourriture. , she s always complaining about the food.
je ne suis pas na f. , i m not naive.
il cherche actuellement un nouveau poste. , he is seeking a new position.
il est cal en litt rature anglaise. , he is well read in english literature.
moi aussi je suis d butant. , i m a beginner too.
il travaille dans le domaine de la biologie. , he is working in the field of biology.
je suis l pour vous sauver. , i m here to save you.
elle n est pas ici. , she s not here.
je suis votre partenaire. , i m your partner.
je ne suis pas invit des f tes. , i m not invited to parties.
je suis contente de vous voir ici. , i m glad to see you here.
je suis d j pr t. , i m already ready.
ce n est qu un enfant. , he is just a kid.
elle a r solu le probl me facilement. , she solved the problem with ease.
vous tes des opportunistes. , you re opportunistic.
il est intelligent. , he is intelligent.
vous tes tr s vive. , you re very sharp.
je dis non. , i m saying no.
c est un scientifique. , he is a scientist.
elle a peur de retomber malade. , she is afraid of falling ill again.
t es pas aussi maligne que moi. , you re not as smart as me.
il est pareil lui m me. , he is his usual self.
je suis affam! , i m famished.
tu n es pas des leurs si? , you re not one of them are you?
je suis heureuse ici. , i m happy here.
il est au dessus d un tel acte. , he is above doing such a thing.
je suis employ par un avocat fran ais. , i m employed by a french lawyer.
elle ment mal. , she s a bad liar.
tu es un v ritable ami. , you re a true friend.
je commence distinguer un sch ma. , i m beginning to see a pattern.
tu es brillant. , you re bright.
vous tes d pourvus d ambition. , you re unambitious.
je suis assez forte. , i m strong enough.
je ne suis pas un de tes soldats. , i m not one of your soldiers.
je suis toujours de mauvaise humeur. , i m always moody.
elle a prouv des difficult s se lever. , she struggled to get up.
je ne suis pas toujours libre le dimanche. , i m not always free on sundays.
vous tes tr s chouettes. , you re very nice.
je t observe. , i m watching you.
vous pr chez des convaincues. , you re preaching to the choir.
tout le monde l aime. , he is liked by everybody.
je veux pr senter mes excuses. , i m willing to apologize.
j en ai termin. , i m through.
il respire avec difficult. , he is breathing hard.
il fait attention ses mani res. , he is careful about his manners.
vous tes tr s observatrices. , you re very observant.
a me fatigue. , i m getting tired of this.
je suis surprise que tu ignorais cela. , i m surprised you didn t know that.
tu n y vas pas si? , you re not going are you?
je suis juste paresseuse. , i m just lazy.
je suis sid r e. , i m stunned.
vous n tes pas cens e fumer ici. , you are not supposed to smoke here.
j adore prendre des photos. , i m fond of taking pictures.
vous ne pensez pas clairement. , you re not thinking clearly.
vous tes tr s marrantes. , you re very funny.
elle a ans. , she is thirty one.
vous n y tes pas bons. , you re not good at this.
je me sp cialise en sociologie. , i m majoring in sociology.
je vous en prie. , you re welcome.
je suis toujours prudente. , i m always careful.
tu es fort g n reux. , you re very generous.
je suis un peu occup e. , i m a little bit busy.
vous n allez jamais le croire. , you re never going to believe this.
vous tes incroyable. , you re amazing.
je ne suis pas chez moi. , i m not home.
elle est en col re apr s vous. , she is mad at you.
tu es tr s contrari e. , you re very upset.
je crains la m me chose. , i m afraid of the same thing.
tu es fort grossier. , you re very rude.
il est follement amoureux de cette fille. , he is madly in love with that girl.
je ne suis pas un expert. , i m not an expert.
elle le fixa les yeux apeur s. , she stared at him with frightened eyes.
pour moi c est la fin des haricots. , i m at the end of my rope.
je n ai pas trop confiance. , i m not very confident.
je vais bient t tre parti. , i m going to be gone soon.
c est un homme de grand talent. , he is a man of great ability.
je suis une femme mari e. , i m a married woman.
il est au d but de la trentaine. , he is in his early thirties.
il est impitoyable. , he s ruthless.
elle lui a envoy une carte postale. , she sent him a postcard.
je suis amoureux de mary. , i m in love with mary.
je m en sors. , i m managing.
vous tes plus intelligentes que moi. , you re smarter than me.
je suis m decin. , i m a doctor.
tu n es pas mon amie. , you re not my friend.
je r alise un documentaire. , i m making a documentary.
il est accro. , he s addicted.
tu es dans le mauvais train. , you are on the wrong train.
tu es cern e. , you re surrounded.
je suis avec toi. , i m by your side.
je suis impatiente de faire cela. , i m looking forward to doing that.
elle coud une robe. , she is sewing a dress.
tu es tellement difficile! , you re so picky.
je suis plus l gant que vous. , i m smarter than you.
je manque de pratique. , i m out of practice.
j ai un emploi de bureau. , i am an office worker.
tu es merveilleuse. , you re wonderful.
je vais acheter du pain. , i m going to buy some bread.
j ai du succ s. , i m successful.
je recherche une maison. , i m looking for a house.
il manque de confiance en lui. , he s insecure.
il est officier de l arm e. , he is an army officer.
je songe me rendre l tranger. , i am thinking of going abroad.
il va probablement venir. , he is likely to come.
j en suis s r. , i m sure.
je ne suis pas votre amie. , i m no friend of yours.
vous tes fort talentueux. , you re very talented.
c est toi le chef. , you re the leader.
il est ivre. , he s drunk.
c est un vrai gentilhomme. , he is a true gentleman.
tu es cingl. , you re out of your mind.
il n a pas enti rement tort. , he is not altogether wrong.
vous tes grand. , you re big.
il vous attend chez nous. , he s waiting for you at home.
je suis certain que tu r ussiras. , i m confident that you ll succeed.
je m inqui te pour toi. , i m worried about you.
vous tes si gentille! , you re so sweet.
elle a pass le week end seule. , she spent the weekend by herself.
je suis trop fatigu pour continuer de marcher. , i am too tired to keep on walking.
je recherche un assistant. , i am looking for an assistant.
je suis juste un peu pris de vertiges. , i m just a little dizzy.
elle a cinq ans de moins que moi. , she s five years younger than me.
il n est pas vraiment le g rant. , he isn t actually the manager.
vous tes un de ces dragueurs! , you re such a flirt.
ce n est plus un enfant. , he is no longer a child.
je ne suis pas aussi occup que tom. , i m not as busy as tom.
je suis en formation. , i m in training.
je suis toujours inquiet. , i m still concerned.
je fais partie du club de tennis. , i m in the tennis club.
je ne suis pas comme elles. , i m not like them.
il marche pour dollars. , he is good for five thousand dollars.
il a faim et soif. , he s hungry and thirsty.
j ai trop sommeil pour faire mes devoirs. , i m too sleepy to do my homework.
il me d goute. , i am disgusted with him.
tu es d go tant. , you re disgusting.
tu es une tudiante. , you are a student.
je suis juste un autre homme. , i m just another man.
je vais faire de mon mieux. , i m going to do my best.
je suis si puis e! , i am so exhausted!
vous tes quelqu un de m chant. , you re a mean person.
je suis ici pour pr senter mes excuses. , i m here to apologize.
tu n es d aucune aide. , you re no help.
c est vous le doyen. , you re the oldest.
je crains que ce soit impossible. , i m afraid that s impossible.
je suis heureux que tu aies appr ci. , i m glad you enjoyed it.
je suis pr t y aller maintenant. , i m ready to go now.
je ne ressens pas particuli rement la faim. , i m not feeling particularly hungry.
il est sans piti. , he s ruthless.
vous n tes pas contrari s si? , you re not upset are you?
je suis allergique aux chiens. , i m allergic to dogs.
je suis un peu occup. , i m a bit busy.
il est vraiment rapide. , he s really quick.
je suis assez heureuse. , i m happy enough.
je me r jouis de vous voir danser. , i m looking forward to seeing you dance.
vous tes impartial. , you re unbiased.
tu es courtoise. , you re courteous.
je suis submerg de travail. , i m swamped with work.
je suis galement pensionn. , i m retired too.
je suis tr s heureux en g orgie. , i am very happy in georgia.
il est h ro no d pendant. , he s addicted to heroin.
je suis heureuse pour vous deux. , i m happy for you both.
j en ai fini de t couter. , i m done listening to you.
tu n es pas un tudiant. , you are not a student.
je ne suis pas si malin. , i m not all that smart.
vous tirez avantage de sa faiblesse. , you re taking advantage of her weakness.
je suis ici avec un ami. , i m here with a friend.
il est japonais. , he is japanese.
vous tes en retard. , you are late.
il est ce qu on appelle un lettr. , he is what we call a scholar.
je n en ai pas fini avec vous. , i m not done with you.
je vais bien maintenant. , i m feeling fine now.
tu me fais peur. , you re scaring me.
je suis en forme. , i m fit.
vous n tes pas invincible. , you re not invincible.
je me sens confuse. , i m feeling confused.
c est vous l enseignante. , you re the teacher.
je sus content que tu aies appel. , i m glad you called.
je suis en train de m entra ner. , i m exercising.
je n en suis plus s r. , i m not sure anymore.
j tudie le fran ais. , i m studying french.
vous avez vraiment de la chance. , you re a very lucky man.
il a peur des chiens. , he s afraid of dogs.
il est attir par les femmes asiatiques. , he s attracted to asian women.
il lui fait du chantage. , she is being blackmailed by him.
il se pr pare pour le test. , he is preparing for the test.
vous tes sournoises. , you re sneaky.
je suis enchant de vous rencontrer. , i m delighted to meet you.
j ai peur qu il commette une erreur. , i am afraid he will make a mistake.
je vais prendre mon char. , i m going to take my car.
vous tes un dr le de type. , you re a funny man.
vous tes bons. , you re good.
j y travaille. , i m working on it.
je vais tre mari e. , i m going to get married.
elle est une artiste n e. , she s a born artist.
tu n es pas normal. , you re not normal.
il parle le fran ais couramment. , he is fluent in french.
je suis tellement idiot. , i m so stupid.
je suis satisfait de ses progr s. , i m satisfied with his progress.
je suis fatigu de lire. , i am tired of reading.
vous n tes pas si int ressant. , you re not that interesting.
il joue bien au tennis. , he is good at playing tennis.
il court. , he is running.
j ai une dette envers vous. , i m indebted to you.
motionnellement je suis vid. , i m emotionally drained.
vous tes celui qui m a form. , you re the one who trained me.
tu ne m impressionne pas. , you re not impressing me.
il est tr s honn te. , he is very honest.
je ne te parle pas tom. , i m not talking to you tom.
je suis en retard. , i m behind schedule.
elle est bonne en ski. , she is good at skiing.
j ai tellement froid. , i m so cold.
je vais paris l automne. , i m going to paris in the fall.
je ne suis pas celle que tu penses. , i m not who you think i am.
je ne suis pas aussi rapide que tom. , i m not as fast as tom.
elle parle bien espagnol. , she speaks spanish well.
vous tes d ue n est ce pas? , you re disappointed aren t you?
je suis court d argent. , i am running short of money.
je d range. , i m interfering.
il est bon chanteur. , he is a good singer.
je vais la piscine. , i am going to the swimming pool.
j adore couter de la musique classique. , i m fond of listening to classical music.
je n ai simplement pas tr s faim. , i m just not very hungry.
il est de loin le meilleur tudiant. , he is by far the best student.
je suis plein de ressources. , i m resourceful.
je prends quelques jours de cong. , i am taking a couple of days off.
je ne suis absolument pas surpris. , i am not in the least surprised.
je vais donner un bain tom. , i m going to give tom a bath.
ce n est pas vous qui dirigez. , you re not in charge.
vous n aidez pas beaucoup. , you re not helping much.
je ne vais nulle part. , i am not going anywhere.
vous avez tr s sommeil non? , you re feeling very sleepy aren t you?
tu commences m ennuyer. , you re starting to annoy me.
je suis content d tre ici. , i m glad to be here.
tu ne souris pas. , you aren t smiling.
tu souffres n est ce pas? , you re in pain aren t you?
il est plus vieux qu elle de ans. , he s three years older than she is.
son travail lui pla t. , he is pleased with his work.
je me r jouis que quelqu un comprenne. , i m glad someone understands.
elle crit constamment des lettres. , she is constantly writing letters.
elle a souri en voyant sa m re. , she smiled at the sight of her mother.
c est triste que tu doives partir. , i m sorry you re leaving us.
je vais regarder un documentaire. , i m going to watch a documentary.
je suis d termin mener bien ce plan. , i m determined to carry out this plan.
je ne suis pas encore pr te. , i m still not ready yet.
il est fou de baseball. , he is crazy about baseball.
j ai une faim de loup. , i m as hungry as a bear.
vous tes tr s avis. , you re very wise.
tu es un romantique. , you re a romantic.
tu gagnes n est ce pas? , you re winning aren t you?
tu es endurante. , you re resilient.
tu es incroyable. , you re amazing.
vous tes fort timides. , you re very timid.
tu es vraiment emb tant. , you re really annoying.
je suis respectueuse. , i m observant.
je suis coinc dans un embouteillage. , i m stuck in a traffic jam.
je crains que vous vous perdiez. , i am afraid that you will get lost.
je n en suis plus aussi certain. , i m not so sure anymore.
je suis court de temps. , i am out of time.
vous tes lib r e de toute responsabilit. , you re free of all responsibility.
tu es difficile. , you re fussy.
je crains que vous vous gariez. , i am afraid that you will get lost.
je suis en train de penser autre chose. , i m thinking about something else.
il est h ro que. , he is heroic.
vous g chez l atmosph re. , you re spoiling the mood.
je suis ton service. , i m at your service.
elle est habitu e se lever t t. , she s used to getting up early.
j en suis absolument certain. , i m absolutely certain of it.
vous tes tr s serviable. , you re very helpful.
tu es trop lent. , you re too slow.
c est un n gre. , he s a ghostwriter.
c est un expert en astronomie. , he is an expert in astronomy.
j ai super faim. , i m super hungry.
je ne suis pas suppos boire. , i m not supposed to drink.
je suis court d essence. , i m out of gas.
je suis laide. , i m ugly.
je ne suis qu un pauvre paysan. , i m nothing but a poor peasant.
tu es vraiment bizarre. , you re really weird.
je suis go ste. , i m selfish.
il est un peu rouill. , he s a little rusty.
je ne fais pas le moindre projet. , i m not making any plans.
il est tr s radin avec son argent. , he is very stingy with his money.
tu es sinistre. , you re creepy.
on peut compter sur moi. , i m dependable.
je ne suis pas en train de mentir. , i m not lying.
je suis contente que tout ceci soit fini. , i m glad this is all over.
je suis presque effray de vous parler. , i am almost scared to talk with you.
je suis aussi choqu que toi. , i m as shocked as you are.
elle semble tre heureuse. , she seems to be happy.
j ai raison non? , i m right aren t i?
j en ai vraiment marre de mentir. , i m sick of lying.
il est divorc depuis deux ans d j. , he s been divorced for years already.
je suis en route. , i m on my way.
je suis gros. , i m fat.
j ai confiance. , i m confident.
il parle au t l phone. , he s talking on the telephone.
c est une femme jalouse. , she s a jealous woman.
c est un homme assez trange. , he is quite an odd man.
il est une autorit en chine. , he is an authority on china.
tu es recherch par la police. , you re wanted by the police.
je prends des vacances la plage. , i am taking a holiday at the beach.
elle a la peau noire. , she is dark skinned.
c est toi le professeur. , you re the teacher.
je suis gras. , i am fat.
je me bats. , i m fighting.
je ne porte aucune pi ce d identit. , i m not carrying any identification.
je suis la recherche d un autre boulot. , i m looking for another job.
je suis un peu fatigu e aujourd hui. , i m a little bit tired today.
il ramasse l argent la pelle. , he s raking it in.
je ne suis pas soldat. , i m not a soldier.
je suis diab tique. , i m a diabetic.
je ne fais pas partie de leur bande. , i m not one of them.
vous me rendez fou. , you re driving me nuts.
elle lui parla de l affaire. , she spoke to him about the matter.
je suis japonais. , i am japanese.
je m int resse l escalade. , i m interested in mountain climbing.
j ai peur de mon patron. , i m afraid of my boss.
il est tr s talentueux. , he is very talented.
elle lui dit quelque chose. , she said something to him.
il est conducteur de bus. , he is a bus driver.
elle n est pas sans argent. , she s not penniless.
moi j en ai fini avec toi. , i m done with you.
j en suis conscient. , i m aware of that.
tu n es pas autoris stationner l. , you aren t allowed to park there.
je suis enchant e d tre ici. , i am delighted to be here.
il est trop ivre. , he s too drunk.
tu me g nes. , you re embarrassing me.
je suis nul en langues. , i m terrible at languages.
je suis indign. , i m outraged.
je suis assez heureux. , i m pretty happy.
je ne suis pas vraiment un expert. , i m not really an expert.
je fais de mon mieux. , i m doing my best.
tu es fou. , you are mad.
c est une tr s gentille fille. , she s a very nice girl.
vous avez raison je pense. , you re right i think.
vous tes trop stupide pour vivre. , you re too stupid to live.
tu es c libataire. , you re single.
ce n est pas une beaut. , she is no beauty.
je suis maintenant pr t tom. , i m ready now tom.
vous tes snob. , you re a snob.
elle va apprendre conduire. , she is going to learn how to drive.
je suis tr s gras. , i m very fat.
c est un homme tr s dangereux. , he is very a dangerous man.
vous tes un petit menteur. , you re a little liar.
je suis en bonne forme. , i m in good shape.
vous tes na f. , you re naive.
vous tes tr s chouette. , you re very nice.
je suis tout fait pour. , i m all for that.
il est d j mari. , he s already married.
je ne suis pas ton ennemie. , i m not your enemy.
vous tes un grand malade. , you are seriously ill.
il craint de mourir. , he is afraid that he will die.
c est un bon nageur. , he is a good swimmer.
tu es incroyablement talentueux. , you re incredibly talented.
